# ell observed_D_uK2 conditional_model_D_coadded_uK2 error_minus_uK2 error_plus_uK2 residual_over_quoted_error
77 -6.89964795000000e+00 -9.09210751126555e+00 5.10690150000000e+00 5.10690150000000e+00 4.29313070022116e-01
78 -5.62269489000000e+00 -9.62076138861004e+00 5.17154518000000e+00 5.17154518000000e+00 7.73089349402153e-01
79 -9.97581467000000e+00 -1.01591697152757e+01 5.23686806000000e+00 5.23686806000000e+00 3.50123476808890e-02
80 -7.31772639000000e+00 -1.07073191285856e+01 5.30284581000000e+00 5.30284581000000e+00 6.39202582921346e-01
81 -1.10062716000000e+01 -1.12649687489865e+01 5.36943516000000e+00 5.36943516000000e+00 4.81795833784759e-02
82 -1.79019297000000e+01 -1.18317097817128e+01 5.43661618000000e+00 5.43661618000000e+00 -1.11654376864382e+00
83 -7.91348180000000e+00 -1.24072770080196e+01 5.50433528000000e+00 5.50433528000000e+00 8.16410152983930e-01
84 -5.12611869000000e+00 -1.29911083521718e+01 5.57254857000000e+00 5.57254857000000e+00 1.41138108773304e+00
85 -1.34618931000000e+01 -1.35830128441840e+01 5.64120212000000e+00 5.64120212000000e+00 2.14705556736935e-02
86 -1.13680199000000e+01 -1.41823991546571e+01 5.71024722000000e+00 5.71024722000000e+00 4.92864695034526e-01
87 -7.42066489000000e+00 -1.47887814754802e+01 5.77963524000000e+00 5.77963524000000e+00 1.27484110666475e+00
88 -1.72719695000000e+01 -1.54016447320100e+01 5.84932753000000e+00 5.84932753000000e+00 -3.19750391544585e-01
89 -1.45890349000000e+01 -1.60205480908293e+01 5.91930113000000e+00 5.91930113000000e+00 2.41838210185693e-01
90 -9.36537278000000e+00 -1.66451991793028e+01 5.98948098000000e+00 5.98948098000000e+00 1.21543526452651e+00
91 -1.94860342000000e+01 -1.72750835048123e+01 6.05982343000000e+00 6.05982343000000e+00 -3.64853979778033e-01
92 -1.68125038000000e+01 -1.79099855018599e+01 6.13027531000000e+00 6.13027531000000e+00 1.79026494955240e-01
93 -3.18781812000000e+01 -1.85493932706251e+01 6.20080438000000e+00 6.20080438000000e+00 -2.14952562805649e+00
94 -1.88642620000000e+01 -1.91930918150763e+01 6.27135495000000e+00 6.27135495000000e+00 5.24336156537080e-02
95 -1.52038535000000e+01 -1.98405693017143e+01 6.34189626000000e+00 6.34189626000000e+00 7.31124510969894e-01
96 -1.71413974000000e+01 -2.04913881508651e+01 6.41237043000000e+00 6.41237043000000e+00 5.22426267701612e-01
97 -2.78734068000000e+01 -2.11451108206411e+01 6.48273679000000e+00 6.48273679000000e+00 -1.03787893868183e+00
98 -1.47373920000000e+01 -2.18012998088398e+01 6.55296477000000e+00 6.55296477000000e+00 1.07797127815779e+00
99 -2.05224262000000e+01 -2.24594434369051e+01 6.62300772000000e+00 6.62300772000000e+00 2.92467911679418e-01
100 -2.52245246000000e+01 -2.31190300698021e+01 6.69281864000000e+00 6.69281864000000e+00 -3.14590106717414e-01
101 -2.39464612000000e+01 -2.37795481178662e+01 6.76234360000000e+00 6.76234360000000e+00 -2.46827271737329e-02
102 -2.24032212000000e+01 -2.44407086924113e+01 6.83154202000000e+00 6.83154202000000e+00 2.98247084837705e-01
103 -2.70166899000000e+01 -2.51017034288897e+01 6.90039331000000e+00 6.90039331000000e+00 -2.77518452221433e-01
104 -3.06071069000000e+01 -2.57621693212695e+01 6.96881089000000e+00 6.96881089000000e+00 -6.95231604818373e-01
105 -2.32788064000000e+01 -2.64215207630814e+01 7.03680289000000e+00 7.03680289000000e+00 4.46611111922370e-01
