# ell observed_D_uK2 conditional_model_D_coadded_uK2 error_minus_uK2 error_plus_uK2 residual_over_quoted_error
134 1.49325548000000e+00 1.11320557077015e+00 2.92191337000000e-01 2.92191337000000e-01 1.30068849108231e+00
135 1.26711896000000e+00 1.11594509527428e+00 2.93438760000000e-01 2.93438760000000e-01 5.15180287449825e-01
136 1.60230866000000e+00 1.11819656808346e+00 2.94643654000000e-01 2.94643654000000e-01 1.64304265625399e+00
137 1.08301538000000e+00 1.11995284291440e+00 2.95806745000000e-01 2.95806745000000e-01 -1.24870252415631e-01
138 1.05996931000000e+00 1.12122161798336e+00 2.96928875000000e-01 2.96928875000000e-01 -2.06286128229740e-01
139 1.19395394000000e+00 1.12199574871456e+00 2.98010846000000e-01 2.98010846000000e-01 2.41461652323357e-01
140 6.03720509000000e-01 1.12227551298029e+00 2.99053444000000e-01 2.99053444000000e-01 -1.73398773491568e+00
141 4.88569095000000e-01 1.12207603273780e+00 3.00057331000000e-01 3.00057331000000e-01 -2.11128631860622e+00
142 1.36730031000000e+00 1.12138274316922e+00 3.01023333000000e-01 3.01023333000000e-01 8.16938555493238e-01
143 1.44365037000000e+00 1.12020334503958e+00 3.01952184000000e-01 3.01952184000000e-01 1.07118624106531e+00
144 1.02646549000000e+00 1.11854553918383e+00 3.02844606000000e-01 3.02844606000000e-01 -3.04050484504355e-01
145 8.96991113000000e-01 1.11640218277363e+00 3.03701271000000e-01 3.03701271000000e-01 -7.22456870368619e-01
146 1.13129202000000e+00 1.11378839809493e+00 3.04522877000000e-01 3.04522877000000e-01 5.74788405965074e-02
147 9.96768318000000e-01 1.11071188522934e+00 3.05310182000000e-01 3.05310182000000e-01 -3.73205919576375e-01
148 9.71454306000000e-01 1.10717292188632e+00 3.06063811000000e-01 3.06063811000000e-01 -4.43432418366906e-01
149 7.92480892000000e-01 1.10317920680168e+00 3.06784609000000e-01 3.06784609000000e-01 -1.01275717779468e+00
150 7.43996967000000e-01 1.09873843777507e+00 3.07474398000000e-01 3.07474398000000e-01 -1.15372685687824e+00
151 1.34239728000000e+00 1.09385827409617e+00 3.08135131000000e-01 3.08135131000000e-01 8.06590943062020e-01
152 1.16595695000000e+00 1.08854622419307e+00 3.08768788000000e-01 3.08768788000000e-01 2.50707742542071e-01
153 9.92670712000000e-01 1.08281717939792e+00 3.09377122000000e-01 3.09377122000000e-01 -2.91380522306096e-01
154 8.97603734000000e-01 1.07668602935636e+00 3.09962048000000e-01 3.09962048000000e-01 -5.77755555920057e-01
155 1.00521204000000e+00 1.07015281825633e+00 3.10525391000000e-01 3.10525391000000e-01 -2.09131942631790e-01
156 6.26138709000000e-01 1.06323985356766e+00 3.11068885000000e-01 3.11068885000000e-01 -1.40515868235312e+00
157 1.48411825000000e+00 1.05594717511513e+00 3.11594312000000e-01 3.11594312000000e-01 1.37412994523747e+00
158 1.77180217000000e+00 1.04830450738751e+00 3.12103386000000e-01 3.12103386000000e-01 2.31813461521527e+00
159 1.40947436000000e+00 1.04031188502814e+00 3.12597836000000e-01 3.12597836000000e-01 1.18095019369186e+00
160 7.31907798000000e-01 1.03199160514005e+00 3.13079247000000e-01 3.13079247000000e-01 -9.58491532145687e-01
161 9.39695333000000e-01 1.02335853992829e+00 3.13549295000000e-01 3.13549295000000e-01 -2.66826327669738e-01
162 8.06758243000000e-01 1.01442755826787e+00 3.14009552000000e-01 3.14009552000000e-01 -6.61347127643638e-01
163 6.90831837000000e-01 1.00522836906831e+00 3.14461609000000e-01 3.14461609000000e-01 -9.99793052856600e-01
164 9.04278392000000e-01 9.95760990332696e-01 3.14906996000000e-01 3.14906996000000e-01 -2.90506719427394e-01
165 7.76171311000000e-01 9.86047701450694e-01 3.15347200000000e-01 3.15347200000000e-01 -6.65540681669900e-01
166 7.37429414000000e-01 9.76110777621177e-01 3.15783917000000e-01 3.15783917000000e-01 -7.55837617978425e-01
167 1.50818996000000e+00 9.65972489632415e-01 3.16219565000000e-01 3.16219565000000e-01 1.71468666199571e+00
168 6.14429541000000e-01 9.55655103643176e-01 3.16656841000000e-01 3.16656841000000e-01 -1.07758784419622e+00
169 7.15529198000000e-01 9.45180880964010e-01 3.17098150000000e-01 3.17098150000000e-01 -7.24229021720909e-01
170 1.18688428000000e+00 9.34564656050861e-01 3.17546027000000e-01 3.17546027000000e-01 7.94592287401343e-01
171 6.11456516000000e-01 9.23836101650924e-01 3.18002898000000e-01 3.18002898000000e-01 -9.82316788983867e-01
172 8.90947262000000e-01 9.13017463221568e-01 3.18471182000000e-01 3.18471182000000e-01 -6.93004656903881e-02
173 1.50266017000000e+00 9.02130980502818e-01 3.18953200000000e-01 3.18953200000000e-01 1.88281286877567e+00
174 3.39044912000000e-01 8.91198887302045e-01 3.19451283000000e-01 3.19451283000000e-01 -1.72844500769166e+00
175 7.57858115000000e-01 8.80258254857732e-01 3.19967664000000e-01 3.19967664000000e-01 -3.82539092630723e-01
176 7.39555619000000e-01 8.69323896762768e-01 3.20504573000000e-01 3.20504573000000e-01 -4.04887445280750e-01
177 5.75424618000000e-01 8.58432941707437e-01 3.21064173000000e-01 3.21064173000000e-01 -8.81469648460083e-01
178 1.49528756000000e+00 8.47607682110187e-01 3.21648605000000e-01 3.21648605000000e-01 2.01362563935203e+00
179 1.43634717000000e+00 8.36870403417030e-01 3.22259941000000e-01 3.22259941000000e-01 1.86022738266116e+00
180 1.00009946000000e+00 8.26258227477597e-01 3.22900232000000e-01 3.22900232000000e-01 5.38374442922056e-01
181 7.42097321000000e-01 8.15800846985748e-01 3.23571502000000e-01 3.23571502000000e-01 -2.27781264821485e-01
182 8.90602933000000e-01 8.05527947075323e-01 3.24275727000000e-01 3.24275727000000e-01 2.62353851494647e-01
183 8.94794222000000e-01 7.95461783344328e-01 3.25014965000000e-01 3.25014965000000e-01 3.05624199967754e-01
184 1.03394428000000e+00 7.85639447035256e-01 3.25791830000000e-01 3.25791830000000e-01 7.62157949033726e-01
185 -2.67852020000000e-03 7.76098021281273e-01 3.26608861000000e-01 3.26608861000000e-01 -2.38443176065965e+00
186 9.09712512000000e-01 7.66859737355792e-01 3.27468641000000e-01 3.27468641000000e-01 4.36233448821160e-01
187 1.11317988000000e+00 7.57954982047553e-01 3.28373711000000e-01 3.28373711000000e-01 1.08177020892043e+00
188 1.04696334000000e+00 7.49423781855412e-01 3.29326598000000e-01 3.29326598000000e-01 9.03478674214429e-01
189 8.83441730000000e-01 7.41297248361553e-01 3.30329731000000e-01 3.30329731000000e-01 4.30310893325092e-01
190 5.80176441000000e-01 7.33609452941722e-01 3.31385539000000e-01 3.31385539000000e-01 -4.63004548734162e-01
191 9.84684998000000e-01 7.26392231369577e-01 3.32496414000000e-01 3.32496414000000e-01 7.76828728836825e-01
192 9.96704179000000e-01 7.19680378930588e-01 3.33664720000000e-01 3.33664720000000e-01 8.30246002842052e-01
193 5.29060765000000e-01 7.13507197218139e-01 3.34892788000000e-01 3.34892788000000e-01 -5.50762628600228e-01
194 4.81288526000000e-01 7.07908204904686e-01 3.36182910000000e-01 3.36182910000000e-01 -6.74096368862670e-01
195 1.25430893000000e+00 7.02918911088348e-01 3.37537354000000e-01 3.37537354000000e-01 1.63356740336257e+00
196 3.47628372000000e-01 6.98574815184806e-01 3.38958390000000e-01 3.38958390000000e-01 -1.03536732985074e+00
197 1.19140071000000e+00 6.94912891183631e-01 3.40448241000000e-01 3.40448241000000e-01 1.45833568520734e+00
198 8.52344147000000e-01 6.91968618840488e-01 3.42009147000000e-01 3.42009147000000e-01 4.68921751263899e-01
199 6.75313631000000e-01 6.89777467949747e-01 3.43643283000000e-01 3.43643283000000e-01 -4.20896833003049e-02
200 7.78899407000000e-01 6.88374898267857e-01 3.45352983000000e-01 3.45352983000000e-01 2.62121693421547e-01
201 7.51484172000000e-01 6.87798581667424e-01 3.47140479000000e-01 3.47140479000000e-01 1.83457689855225e-01
202 1.32595678000000e-01 6.88083936059993e-01 3.49008119000000e-01 3.49008119000000e-01 -1.59161987306087e+00
203 8.62655029000000e-01 6.89267849184397e-01 3.50958291000000e-01 3.50958291000000e-01 4.94039275497849e-01
204 4.59421176000000e-01 6.91386456344668e-01 3.52993317000000e-01 3.52993317000000e-01 -6.57137881011689e-01
205 7.63310826000000e-01 6.94476624735502e-01 3.55115582000000e-01 3.55115582000000e-01 1.93836048750172e-01
206 1.12161009000000e+00 6.98573726882678e-01 3.57327416000000e-01 3.57327416000000e-01 1.18389002403701e+00
207 6.81398775000000e-01 7.03715351524406e-01 3.59631152000000e-01 3.59631152000000e-01 -6.20540695662717e-02
208 1.29125638000000e+00 7.09937592712994e-01 3.62029166000000e-01 3.62029166000000e-01 1.60572363191038e+00
209 3.58541746000000e-01 7.17275791999904e-01 3.64523816000000e-01 3.64523816000000e-01 -9.84116895121893e-01
210 1.79226718000000e-01 7.25767507166721e-01 3.67117448000000e-01 3.67117448000000e-01 -1.48873553176018e+00
211 4.77664833000000e-01 7.35449543535450e-01 3.69812472000000e-01 3.69812472000000e-01 -6.97068730920059e-01
212 1.23425646000000e+00 7.46356469646847e-01 3.72611246000000e-01 3.72611246000000e-01 1.30940758120101e+00
213 1.09727438000000e+00 7.58525812557562e-01 3.75516180000000e-01 3.75516180000000e-01 9.02087807354767e-01
214 1.52076700000000e+00 7.71994347002246e-01 3.78529678000000e-01 3.78529678000000e-01 1.97810818151425e+00
215 1.04148563000000e+00 7.86791415850770e-01 3.81654220000000e-01 3.81654220000000e-01 6.67342848060819e-01
216 7.80334602000000e-01 8.02961937727093e-01 3.84892287000000e-01 3.84892287000000e-01 -5.87887481546053e-02
217 1.30021682000000e+00 8.20535235587295e-01 3.88246218000000e-01 3.88246218000000e-01 1.23550871115686e+00
218 7.79259137000000e-01 8.39540622571732e-01 3.91718084000000e-01 3.91718084000000e-01 -1.53889973514044e-01
219 5.59003126000000e-01 8.60022245688325e-01 3.95309979000000e-01 3.95309979000000e-01 -7.61476147022146e-01
220 1.04295916000000e+00 8.82009398780194e-01 3.99023998000000e-01 3.99023998000000e-01 4.03358600050431e-01
221 1.07396395000000e+00 9.05531366230222e-01 4.02862243000000e-01 4.02862243000000e-01 4.18089773108317e-01
222 1.18346965000000e+00 9.30632266677215e-01 4.06826830000000e-01 4.06826830000000e-01 6.21486501573126e-01
223 8.62524266000000e-01 9.57333944226515e-01 4.10919926000000e-01 4.10919926000000e-01 -2.30725433904889e-01
224 6.06657779000000e-01 9.85673077551409e-01 4.15143663000000e-01 4.15143663000000e-01 -9.12973826488132e-01
225 4.98665965000000e-01 1.01567149291262e+00 4.19500263000000e-01 4.19500263000000e-01 -1.23243195180695e+00
226 7.03999450000000e-01 1.04737327328339e+00 4.23991876000000e-01 4.23991876000000e-01 -8.09859440050651e-01
227 1.08926306000000e+00 1.08080764959885e+00 4.28620787000000e-01 4.28620787000000e-01 1.97270189818189e-02
228 1.73290376000000e+00 1.11599642275276e+00 4.33389166000000e-01 4.33389166000000e-01 1.42344891299668e+00
229 8.98641565000000e-01 1.15297622917536e+00 4.38299310000000e-01 4.38299310000000e-01 -5.80276213930979e-01
230 1.13811013000000e+00 1.19177627569610e+00 4.43353450000000e-01 4.43353450000000e-01 -1.21045963883001e-01
231 1.57324715000000e+00 1.23241091798777e+00 4.48553873000000e-01 4.48553873000000e-01 7.59855733119995e-01
232 1.74627080000000e+00 1.27491676976269e+00 4.53902963000000e-01 4.53902963000000e-01 1.03844669160556e+00
233 9.30964276000000e-01 1.31932301587075e+00 4.59402932000000e-01 4.59402932000000e-01 -8.45355379383491e-01
234 1.30844702000000e+00 1.36565141257416e+00 4.65055871000000e-01 4.65055871000000e-01 -1.23005419652388e-01
235 1.50672848000000e+00 1.41393113139960e+00 4.70863250000000e-01 4.70863250000000e-01 1.97079191464612e-01
236 1.33072044000000e+00 1.46419133764025e+00 4.76826344000000e-01 4.76826344000000e-01 -2.79915108130538e-01
237 1.87173061000000e+00 1.51643892529646e+00 4.82946385000000e-01 4.82946385000000e-01 7.35675213105771e-01
238 1.15948026000000e+00 1.57070304810864e+00 4.89224679000000e-01 4.89224679000000e-01 -8.40560187906304e-01
239 1.30531519000000e+00 1.62699801094548e+00 4.95662479000000e-01 4.95662479000000e-01 -6.48995706906200e-01
240 1.94102263000000e+00 1.68536037907016e+00 5.02261052000000e-01 5.02261052000000e-01 5.09022648504793e-01
241 2.81268031000000e+00 1.74580444775584e+00 5.09021668000000e-01 5.09021668000000e-01 2.09593408161980e+00
242 1.61828193000000e+00 1.80834450800151e+00 5.15945587000000e-01 5.15945587000000e-01 -3.68377175404564e-01
243 2.37992985000000e+00 1.87300226868227e+00 5.23034092000000e-01 5.23034092000000e-01 9.69205619808298e-01
244 1.86726867000000e+00 1.93979201334867e+00 5.30288412000000e-01 5.30288412000000e-01 -1.36762074575886e-01
245 2.12561276000000e+00 2.00873544417376e+00 5.37709796000000e-01 5.37709796000000e-01 2.17361328909548e-01
246 2.29581818000000e+00 2.07983199519994e+00 5.45299524000000e-01 5.45299524000000e-01 3.96087242504278e-01
247 2.01502301000000e+00 2.15311078525050e+00 5.53058793000000e-01 5.53058793000000e-01 -2.49680100919220e-01
248 1.49309287000000e+00 2.22858608761406e+00 5.60988967000000e-01 5.60988967000000e-01 -1.31106538787608e+00
249 2.55264069000000e+00 2.30625733046022e+00 5.69091133000000e-01 5.69091133000000e-01 4.32941835239918e-01
250 2.23673045000000e+00 2.38615362799134e+00 5.77366466000000e-01 5.77366466000000e-01 -2.58801275776446e-01
251 1.67185856000000e+00 2.46825956590368e+00 5.85816006000000e-01 5.85816006000000e-01 -1.35947293646271e+00
252 2.88751792000000e+00 2.55259685018790e+00 5.94439568000000e-01 5.94439568000000e-01 5.63423244080040e-01
253 2.44166426000000e+00 2.63916492458485e+00 6.03236834000000e-01 6.03236834000000e-01 -3.27401533615320e-01
254 2.92108311000000e+00 2.72797807708315e+00 6.12207333000000e-01 6.12207333000000e-01 3.15424240298754e-01
255 2.33499603000000e+00 2.81902833144036e+00 6.21350732000000e-01 6.21350732000000e-01 -7.79000130702920e-01
256 2.84831203000000e+00 2.91232997838967e+00 6.30666562000000e-01 6.30666562000000e-01 -1.01508391671586e-01
257 2.85028674000000e+00 3.00788246717806e+00 6.40154408000000e-01 6.40154408000000e-01 -2.46183928765610e-01
258 4.20375771000000e+00 3.10567782784055e+00 6.49813816000000e-01 6.49813816000000e-01 1.68983769677106e+00
259 2.89656457000000e+00 3.20573035884148e+00 6.59644348000000e-01 6.59644348000000e-01 -4.68685572428308e-01
260 3.28685460000000e+00 3.30803209685300e+00 6.69645515000000e-01 6.69645515000000e-01 -3.16249364456640e-02
261 4.48405122000000e+00 3.41258250440134e+00 6.79816860000000e-01 6.79816860000000e-01 1.57611377216896e+00
262 3.08393374000000e+00 3.51938104859368e+00 6.90157904000000e-01 6.90157904000000e-01 -6.30938667904734e-01
263 3.43574379000000e+00 3.62842720163270e+00 7.00668119000000e-01 7.00668119000000e-01 -2.74999541734115e-01
264 3.85345803000000e+00 3.73971301954143e+00 7.11347121000000e-01 7.11347121000000e-01 1.59900851638605e-01
265 3.94889594000000e+00 3.85322314269077e+00 7.22194346000000e-01 7.22194346000000e-01 1.32475140298627e-01
266 2.98167139000000e+00 3.96894963989845e+00 7.33209151000000e-01 7.33209151000000e-01 -1.34651654108781e+00
267 3.40479988000000e+00 4.08687716538113e+00 7.44391132000000e-01 7.44391132000000e-01 -9.16288838031365e-01
268 4.80757925000000e+00 4.20699780286635e+00 7.55739422000000e-01 7.55739422000000e-01 7.94693818597244e-01
269 5.01772135000000e+00 4.32930364433533e+00 7.67252012000000e-01 7.67252012000000e-01 8.97251092076212e-01
