# ell mean_D_TT_uK2 mean_D_TE_uK2 mean_D_EE_uK2 mean_C_TT_uK2 mean_C_TE_uK2 mean_C_EE_uK2 draw_D_TT_uK2 draw_D_TE_uK2 draw_D_EE_uK2 draw_C_TT_uK2 draw_C_TE_uK2 draw_C_EE_uK2 TT_D_68_lower_uK2 TT_D_68_upper_uK2 TT_D_95_lower_uK2 TT_D_95_upper_uK2 EE_D_68_lower_uK2 EE_D_68_upper_uK2 EE_D_95_lower_uK2 EE_D_95_upper_uK2 sigma_D_TT_uK2 sigma_D_TE_uK2 sigma_D_EE_uK2 cov_D_TT_TT_uK4 cov_D_TT_TE_uK4 cov_D_TT_EE_uK4 cov_D_TE_TE_uK4 cov_D_TE_EE_uK4 cov_D_EE_EE_uK4
28 1.02139215996300e+03 1.81073746395300e+00 1.69357023219900e-02 7.90344361126594e+00 1.40113288530408e-02 1.31046990143220e-04 9.82574209146581e+02 1.85206736738621e+00 2.26285861008302e-02 7.60307368734409e+00 1.43311360476205e-02 1.75098029200720e-04 8.32121483536701e+02 1.21041795759562e+03 6.81407282133762e+02 1.42909234973597e+03 1.37974054367333e-02 2.00699388722283e-02 1.12984134229811e-02 2.36957787365808e-02 1.91324281016425e+02 6.00829306094161e-01 3.17234770078940e-03 3.66049805064520e+04 6.48937912081712e+01 1.15044567135542e-01 3.60995855061591e-01 1.07600388325555e-03 1.00637899347038e-05
29 1.03744129353700e+03 1.84936011844300e+00 1.91135764954700e-02 7.49245504898053e+00 1.33561750849252e-02 1.38039244832173e-04 1.02380964578413e+03 1.85414298003733e+00 2.48710638899118e-02 7.39400657901099e+00 1.33907171604376e-02 1.79620118628757e-04 8.48447061713800e+02 1.22619458669949e+03 6.97404248639305e+02 1.44393199729735e+03 1.56315908355012e-02 2.25911231577328e-02 1.28488132655554e-02 2.66026664414967e-02 1.91008424477953e+02 6.27739371201979e-01 3.51909467579753e-03 3.64842182215500e+04 6.50373746946863e+01 1.15936706701271e-01 3.94056718157056e-01 1.19823342683158e-03 1.23840273372265e-05
30 1.05389449761700e+03 1.87629786792100e+00 2.15023144590700e-02 7.12023056209091e+00 1.26764808554985e-02 1.45272071268370e-04 1.00091367009511e+03 1.89225341398055e+00 1.63171968537658e-02 6.76228609214712e+00 1.27842783313796e-02 1.10240829597783e-04 8.65042979759393e+02 1.24250869003576e+03 7.13592618741141e+02 1.45949594425022e+03 1.76492297981017e-02 2.53505570355348e-02 1.45592304718716e-02 2.97776872504465e-02 1.90830249183721e+02 6.55139386790888e-01 3.89345616238547e-03 3.64161840035209e+04 6.48334425866377e+01 1.15426022595570e-01 4.29207616124741e-01 1.32277858278426e-03 1.51590008884174e-05
31 1.07014634721000e+03 1.90234141479200e+00 2.40982211712000e-02 6.77815302955824e+00 1.20491568817140e-02 1.52634666524242e-04 1.08779458346870e+03 1.40408126861558e+00 2.06852359112994e-02 6.88993441943556e+00 8.89324878735027e-03 1.31017308824012e-04 8.81419631731589e+02 1.25863918431139e+03 7.29572694756837e+02 1.47492649484637e+03 1.98483555875160e-02 2.83428201360975e-02 1.64289717986287e-02 3.32133123443683e-02 1.90672427855593e+02 6.83217484013056e-01 4.29368034539679e-03 3.63559747443462e+04 6.46280544820940e+01 1.14885805029614e-01 4.66786130461130e-01 1.45533473513623e-03 1.84356909084467e-05
32 1.08700320150300e+03 1.92242832849700e+00 2.69173182854100e-02 6.46765392475456e+00 1.14384218065513e-02 1.60157669279891e-04 1.34811468727614e+03 2.61913411272545e+00 2.03854781938539e-02 8.02126363208943e+00 1.55838115289862e-02 1.21293311616906e-04 8.98246531409315e+02 1.27552911682871e+03 7.45901471787881e+02 1.49132064788263e+03 2.22431615208480e-02 3.15857608997958e-02 1.84706607100225e-02 3.69293783947976e-02 1.90672974978124e+02 7.12038696337427e-01 4.72160997209172e-03 3.63561833870084e+04 6.42980230072708e+01 1.13714790098701e-01 5.06999105081903e-01 1.59220354458592e-03 2.22936007285559e-05
33 1.10394022548900e+03 1.93503345467600e+00 2.99193030560500e-02 6.18205080641444e+00 1.08361620065251e-02 1.67547705314462e-04 1.15528040936321e+03 3.03848305444854e+00 4.23085453158313e-02 6.46955516379977e+00 1.70154653153522e-02 2.36927299729566e-04 9.15097670469432e+02 1.29255496091404e+03 7.62230098458529e+02 1.50793883155585e+03 2.48012382341920e-02 3.50311934462373e-02 2.06581776691050e-02 4.08685885789881e-02 1.90731820905823e+02 7.40849418027923e-01 5.16926824510430e-03 3.63786275060509e+04 6.37660080084711e+01 1.11771775245234e-01 5.48857860192312e-01 1.72820454788199e-03 2.67213341898437e-05
34 1.12093890334400e+03 1.94120597964100e+00 3.31294864826900e-02 5.91854356952691e+00 1.02495436046130e-02 1.74923279581884e-04 1.14019622185805e+03 7.20065164804726e-01 2.24239470214304e-02 6.02022197351275e+00 3.80193517959067e-03 1.18398163406744e-04 9.31961930243971e+02 1.30969082235924e+03 7.78551569492218e+02 1.52474449191347e+03 2.75442489133809e-02 3.87080725509783e-02 2.30101869251067e-02 4.50640100755799e-02 1.90841312410626e+02 7.69946458722476e-01 5.64033834581471e-03 3.64204065226101e+04 6.30716899125680e+01 1.09225526243304e-01 5.92817549299281e-01 1.86409151485894e-03 3.18134166552678e-05
35 1.13857384141000e+03 1.93178133391200e+00 3.65547128516200e-02 5.67767494562407e+00 9.63312705866640e-03 1.82285741823387e-04 1.78891188883680e+03 4.98631999056641e+00 4.51480643983474e-02 8.92068642522083e+00 2.48650575409704e-02 2.25137821329599e-04 9.49322112409793e+02 1.32760301306309e+03 7.95272295639565e+02 1.54250622190230e+03 3.04786531718122e-02 4.26236271714864e-02 2.55327756080815e-02 4.95232456277479e-02 1.91093988551105e+02 7.99225143720064e-01 6.13520671659358e-03 3.65169124603697e+04 6.19570618060935e+01 1.05120538649319e-01 6.38760830354356e-01 1.98917498459923e-03 3.76407614553350e-05
36 1.15593793118300e+03 1.91700654620700e+00 4.02236917549900e-02 5.45268185076621e+00 9.04272324691810e-03 1.89739421197803e-04 9.13192552409803e+02 2.63130906753884e+00 3.64236358293501e-02 4.30762614709242e+00 1.24121640178742e-02 1.71814154262037e-04 9.66427075448786e+02 1.34522865084047e+03 8.11766331476192e+02 1.55998197393882e+03 3.36291973278748e-02 4.68105260080975e-02 2.82473979039348e-02 5.42833939179059e-02 1.91332207741178e+02 8.29019929119197e-01 6.65787283155125e-03 3.66080137191133e+04 6.07107008516928e+01 1.00682578032890e-01 6.87274042876799e-01 2.11257754539530e-03 4.43272706411082e-05
37 1.17355984322600e+03 1.89105867816600e+00 4.41617907626400e-02 5.24444805409216e+00 8.45083364272195e-03 1.97351859785604e-04 1.51747340206859e+03 2.28676012400432e+00 4.35420288935406e-02 6.78134180932657e+00 1.02191590413856e-02 1.94582244799917e-04 9.83720643613207e+02 1.36318115992874e+03 8.28407127162492e+02 1.57787997554461e+03 3.70180229690851e-02 5.12973594860410e-02 3.11734782228608e-02 5.93766101752524e-02 1.91641519901621e+02 8.59477416172177e-01 7.21159023306824e-03 3.67264721502036e+04 5.91805473567909e+01 9.53627446471184e-02 7.38701428910002e-01 2.22700100440111e-03 5.20070336896852e-05
