# ell mean_D_TT_uK2 mean_D_TE_uK2 mean_D_EE_uK2 mean_C_TT_uK2 mean_C_TE_uK2 mean_C_EE_uK2 draw_D_TT_uK2 draw_D_TE_uK2 draw_D_EE_uK2 draw_C_TT_uK2 draw_C_TE_uK2 draw_C_EE_uK2 TT_D_68_lower_uK2 TT_D_68_upper_uK2 TT_D_95_lower_uK2 TT_D_95_upper_uK2 EE_D_68_lower_uK2 EE_D_68_upper_uK2 EE_D_95_lower_uK2 EE_D_95_upper_uK2 sigma_D_TT_uK2 sigma_D_TE_uK2 sigma_D_EE_uK2 cov_D_TT_TT_uK4 cov_D_TT_TE_uK4 cov_D_TT_EE_uK4 cov_D_TE_TE_uK4 cov_D_TE_EE_uK4 cov_D_EE_EE_uK4
1081 1.17159365408100e+03 -7.77423688001900e+01 2.47466147927500e+01 6.29366937345494e-03 -4.17623263691532e-04 1.32936032109175e-04 1.12586802708944e+03 -7.06156666320355e+01 2.39071130266347e+01 6.04803644673466e-03 -3.79339420984453e-04 1.28426323016814e-04 1.13616685403759e+03 1.20701248643832e+03 1.10280016033213e+03 1.24243912115812e+03 2.39983234624238e+01 2.54947378281578e+01 2.32935460738125e+01 2.62430256664887e+01 3.56257280826281e+01 4.02470714112416e+00 7.52493124643624e-01 1.26919250141736e+03 -8.42186462686337e+01 5.58841970103075e+00 1.61982675718158e+01 -1.77888160311993e+00 5.66245902635925e-01
1082 1.17422995949000e+03 -7.75255426860700e+01 2.44732643042100e+01 6.29618249839790e-03 -4.15689415087684e-04 1.31224839858249e-04 1.14907820264797e+03 -7.66950773368590e+01 2.45499606100953e+01 6.16131960382356e-03 -4.11236487145444e-04 1.31636082932831e-04 1.13873984330627e+03 1.20971209742180e+03 1.10531304159447e+03 1.24520156831202e+03 2.37335804062377e+01 2.52127819197038e+01 2.30369000443324e+01 2.59524523684890e+01 3.56893965112674e+01 4.00619900262492e+00 7.43837292362523e-01 1.27373302333846e+03 -8.40949790740917e+01 5.55215683027220e+00 1.60496304486329e+01 -1.75270493901479e+00 5.53293917509210e-01
1083 1.17683960560500e+03 -7.72878862563600e+01 2.42013297216300e+01 6.29853294528690e-03 -4.13650505590362e-04 1.29527313531459e-04 1.17111301285241e+03 -8.20753632316374e+01 2.51355940541470e+01 6.26788379569623e-03 -4.39273437814915e-04 1.34527565604842e-04 1.14128702955176e+03 1.21238419304091e+03 1.10780092529882e+03 1.24793564281400e+03 2.34702023773260e+01 2.49322927825762e+01 2.27815713640099e+01 2.56633969652895e+01 3.57522038564222e+01 3.98743415530770e+00 7.35232626165219e-01 1.27822008059117e+03 -8.39459580802758e+01 5.51307555327738e+00 1.58996311429145e+01 -1.72632175244855e+00 5.40567014577805e-01
1084 1.17942286648200e+03 -7.70293857471800e+01 2.39309453743300e+01 6.30072306496789e-03 -4.11507052517345e-04 1.27844103901668e-04 1.17072594470332e+03 -7.76048443632897e+01 2.43414977407249e+01 6.25426229402441e-03 -4.14581272526554e-04 1.30037360313626e-04 1.14380867734025e+03 1.21502905683904e+03 1.11026406710922e+03 1.25064163773347e+03 2.32083197248508e+01 2.46534087253790e+01 2.25276866306014e+01 2.53760017428991e+01 3.58141596614393e+01 3.96842252591832e+00 7.26683128538883e-01 1.28265403225506e+03 -8.37715250726480e+01 5.47120909966607e+00 1.57483773442159e+01 -1.69975659062606e+00 5.28068369303058e-01
1085 1.18197258541000e+03 -7.67507689668400e+01 2.36621713238600e+01 6.30271556902443e-03 -4.09263524783108e-04 1.26175460785399e-04 1.15438679540719e+03 -7.79441362434082e+01 2.42247792519080e+01 6.15561792033047e-03 -4.15627001065413e-04 1.29175494619631e-04 1.14629784476775e+03 1.21763931734613e+03 1.11269572748459e+03 1.25331196684211e+03 2.29479907790394e+01 2.43761915406167e+01 2.22753025409083e+01 2.50903302223163e+01 3.58750479134464e+01 3.94916560306390e+00 7.18190540506654e-01 1.28701906279208e+03 -8.35719067968139e+01 5.42669786918586e+00 1.55959089604230e+01 -1.67304453664796e+00 5.15797652473240e-01
1086 1.18448903146800e+03 -7.64505339609100e+01 2.33950676535300e+01 6.30451296930840e-03 -4.06912491430808e-04 1.24521632130886e-04 1.15269855886603e+03 -7.13883951088791e+01 2.24226128718092e+01 6.13530629749044e-03 -3.79968957808116e-04 1.19345684004269e-04 1.14875479130115e+03 1.22021525325079e+03 1.11509615688217e+03 1.25594691848467e+03 2.26892738943300e+01 2.41007030401047e+01 2.20244758181659e+01 2.48064459413150e+01 3.59348782788375e+01 3.92965556998854e+00 7.09756600627061e-01 1.29131547691486e+03 -8.33454384966127e+01 5.37936874634906e+00 1.54421928987420e+01 -1.64617157309156e+00 5.03754432133682e-01
1087 1.18697247104100e+03 -7.61308916983000e+01 2.31296944744300e+01 6.30611774689467e-03 -4.04466303084954e-04 1.22882864063000e-04 1.25960105582330e+03 -7.79485782671463e+01 2.32332042917991e+01 6.69197708112660e-03 -4.14123262963762e-04 1.23432788439693e-04 1.15117977381363e+03 1.22275714044737e+03 1.11746560325937e+03 1.25854677811072e+03 2.24322274552002e+01 2.38270050611800e+01 2.17752632176935e+01 2.45244124608461e+01 3.59936603231279e+01 3.90991802692188e+00 7.01383045185726e-01 1.29554358345672e+03 -8.30945035785618e+01 5.32957486968118e+00 1.52874589772487e+01 -1.61920392188285e+00 4.91938176074002e-01
1088 1.18941573933100e+03 -7.57910805622700e+01 2.28662604984500e+01 6.30749295891121e-03 -4.01921457053928e-04 1.21260188781196e-04 1.19386069945012e+03 -7.33698824649599e+01 2.34836234955429e+01 6.33106466199778e-03 -3.89081800198956e-04 1.24534075806977e-04 1.15356584199576e+03 1.22525759969703e+03 1.11979731838571e+03 1.26110395205776e+03 2.21770539710744e+01 2.35553125168299e+01 2.15278614036801e+01 2.42444508928368e+01 3.60511783537883e+01 3.88995254928506e+00 6.93076111450714e-01 1.29968746069666e+03 -8.28177346087898e+01 5.27725116471888e+00 1.51317308356893e+01 -1.59215304694155e+00 4.80354496263642e-01
1089 1.19181909693800e+03 -7.54310805324100e+01 2.26048259102700e+01 6.30864124034076e-03 -3.99278402798560e-04 1.19653844559659e-04 1.19779283786834e+03 -7.73848318845472e+01 2.20395999793199e+01 6.34026196909821e-03 -4.09620170592960e-04 1.16661941151446e-04 1.15591324683929e+03 1.22771690120550e+03 1.12209154425393e+03 1.26361872019089e+03 2.19238119101362e+01 2.32856873078703e+01 2.12823272243351e+01 2.39666248512539e+01 3.61074420333782e+01 3.86976555002550e+00 6.84837525532736e-01 1.30374737019377e+03 -8.25151007629137e+01 5.22243956887281e+00 1.49750854121641e+01 -1.56503574452380e+00 4.69002436377801e-01
1090 1.19418280138200e+03 -7.50516131920500e+01 2.23453766568800e+01 6.30956519288755e-03 -3.96541505805140e-04 1.18063675521912e-04 1.19039752218866e+03 -7.55294074531839e+01 2.15552314102178e+01 6.28956535214624e-03 -3.99065971938736e-04 1.13888876705603e-04 1.15822223636794e+03 1.23013531198652e+03 1.12434851999362e+03 1.26609135907057e+03 2.16724877414615e+01 2.30181148593467e+01 2.10386476373529e+01 2.36909192359094e+01 3.61624609118219e+01 3.84936498551863e+00 6.76666762391158e-01 1.30772357919905e+03 -8.21873871526094e+01 5.16528623817432e+00 1.48176107917368e+01 -1.53787855615114e+00 4.57877907324931e-01
1091 1.19650710699800e+03 -7.46533989011200e+01 2.20881215875800e+01 6.31026738468403e-03 -3.93715094115468e-04 1.16490702335021e-04 1.12845495037184e+03 -7.08396918595269e+01 2.20913289492251e+01 5.95136662939065e-03 -3.73601957286984e-04 1.16507617662529e-04 1.16049305553535e+03 1.23251309575395e+03 1.12656848177182e+03 1.26852214184191e+03 2.14232841261760e+01 2.27528102073726e+01 2.07970194715718e+01 2.34175552670482e+01 3.62162444235123e+01 3.82877479851565e+00 6.68570044919418e-01 1.31161636014359e+03 -8.18353846511652e+01 5.10593675445693e+00 1.46595164577486e+01 -1.51072226463953e+00 4.46985904963553e-01
1092 1.19878483647200e+03 -7.42356711346000e+01 2.18331210424400e+01 6.31071124521225e-03 -3.90795637692353e-04 1.14935156242131e-04 1.18714576775122e+03 -7.18100504864931e+01 2.16710358457140e+01 6.24944019837769e-03 -3.78026547664758e-04 1.14081898140642e-04 1.16271874125012e+03 1.23484286101876e+03 1.12874466834374e+03 1.27090346287651e+03 2.11762596953905e+01 2.24898354006209e+01 2.05574997448954e+01 2.31465966986203e+01 3.62685771434987e+01 3.80798566590451e+00 6.60549091646418e-01 1.31540968801391e+03 -8.14577545825910e+01 5.04433397602241e+00 1.45007548317342e+01 -1.48356649295056e+00 4.36325102474907e-01
1093 1.20101623744300e+03 -7.37998906667100e+01 2.15805097088000e+01 6.31089948900847e-03 -3.87791336850702e-04 1.13397657290434e-04 1.29399465691680e+03 -7.82480411131525e+01 2.20289104621367e+01 6.79946695516970e-03 -4.11164734731860e-04 1.15753838661578e-04 1.16489953170199e+03 1.23712486486663e+03 1.13087730905615e+03 1.27323558876676e+03 2.09315451947538e+01 2.22293290672676e+01 2.03202154864340e+01 2.28781860963598e+01 3.63194685744775e+01 3.78702369130333e+00 6.52607866367141e-01 1.31910379753246e+03 -8.10561198100016e+01 4.98072598300718e+00 1.43415484384927e+01 -1.45646022591798e+00 4.25897027244272e-01
1094 1.20320155405700e+03 -7.33452885703300e+01 2.13303480602600e+01 6.31083479504361e-03 -3.84698638063947e-04 1.11878431568833e-04 1.23602838972010e+03 -7.60132000941004e+01 2.19090648492232e+01 6.48301271154926e-03 -3.98691928562565e-04 1.14913821637895e-04 1.16703566171183e+03 1.23935936076616e+03 1.13296663000323e+03 1.27551878236327e+03 2.06891993939943e+01 2.19713533844315e+01 2.00852238572523e+01 2.26123873373245e+01 3.63689280943375e+01 3.76589000060287e+00 6.44748082492949e-01 1.32269893073109e+03 -8.06296621202195e+01 4.91505834213338e+00 1.41819274966407e+01 -1.42940204091855e+00 4.15700089878335e-01
1095 1.20534102687800e+03 -7.28733232373400e+01 2.10827709295600e+01 6.31051980653652e-03 -3.81525675640939e-04 1.10378092640106e-04 1.24143094431445e+03 -7.48868123933175e+01 2.13151581734364e+01 6.49946727760112e-03 -3.92067226053400e-04 1.11594747738180e-04 1.16912736264495e+03 1.24154659847753e+03 1.13501285394210e+03 1.27775330268108e+03 2.04493531909115e+01 2.17160471189416e+01 1.98526520446644e+01 2.23493431188422e+01 3.64169649537799e+01 3.74461122026413e+00 6.36973697028290e-01 1.32619533644483e+03 -8.01800148451920e+01 4.84757758069725e+00 1.40221131909280e+01 -1.40243868616031e+00 4.05735490705888e-01
1096 1.20742746445700e+03 -7.23832233792400e+01 2.08378389476000e+01 6.30991831085552e-03 -3.78268873323013e-04 1.08896861637358e-04 1.18917970395332e+03 -7.18507804274952e+01 1.99822846580003e+01 6.21455698976279e-03 -3.75486369504275e-04 1.04425804089976e-04 1.17116765706032e+03 1.24367917259115e+03 1.13700920509405e+03 1.27993153040406e+03 2.02120655168600e+01 2.14634726008932e+01 1.96225573751908e+01 2.20891174663725e+01 3.64633639438324e+01 3.72317951438303e+00 6.29286419032224e-01 1.32957691010037e+03 -7.97058749421071e+01 4.77823167055992e+00 1.38620656963215e+01 -1.37556767103033e+00 3.96001397178400e-01
1097 1.20946852830600e+03 -7.18757022135800e+01 2.05956871163200e+01 6.30907184069517e-03 -3.74932425485287e-04 1.07435345843466e-04 1.22719671899034e+03 -7.08178694716134e+01 2.03441472581463e+01 6.40154917765385e-03 -3.69414346586736e-04 1.06123213283689e-04 1.17316397424912e+03 1.24576497678749e+03 1.13896289404924e+03 1.28206159144849e+03 1.99774674448248e+01 2.12137687603338e+01 1.93950672166657e+01 2.18318532341702e+01 3.65083585893810e+01 3.70162507898703e+00 6.21690199488239e-01 1.33286024689083e+03 -7.92085647172837e+01 4.70716771635101e+00 1.37020282253857e+01 -1.34881956633866e+00 3.86498704139726e-01
1098 1.21145701942400e+03 -7.13514718058300e+01 2.03563019640900e+01 6.30794425195653e-03 -3.71520490805542e-04 1.05993374842572e-04 1.16547122356867e+03 -6.99610157410614e+01 2.06246010292203e+01 6.06850048136765e-03 -3.64280515139278e-04 1.07390383171021e-04 1.17510932927859e+03 1.24779659804463e+03 1.14086713759864e+03 1.28413585883025e+03 1.97455460359524e+01 2.09669215930067e+01 1.91701691281685e+01 2.15775358812922e+01 3.65517336208398e+01 3.67994833783382e+00 6.14184502600486e-01 1.33602923068883e+03 -7.86884309198055e+01 4.63453120515080e+00 1.35420197691259e+01 -1.32221402427103e+00 3.77222603234606e-01
1099 1.21338573493400e+03 -7.08105002468600e+01 2.01198929691600e+01 6.30649964569329e-03 -3.68033331743823e-04 1.04571938031146e-04 1.20729624319959e+03 -6.60804265412799e+01 1.95538610541062e+01 6.27484987731390e-03 -3.43449057106733e-04 1.01630021071876e-04 1.17699673306860e+03 1.24976661973591e+03 1.14271514814116e+03 1.28614670224295e+03 1.95165046139918e+01 2.07231467303207e+01 1.89480606314269e+01 2.13263871881382e+01 3.65932740416232e+01 3.65816025537690e+00 6.06775517390310e-01 1.33906770508533e+03 -7.81450212670127e+01 4.56037011842707e+00 1.33821364540192e+01 -1.29577051938108e+00 3.68176528504278e-01
1100 1.21526975307600e+03 -7.02534973360300e+01 1.98864468644600e+01 6.30481798099817e-03 -3.64475057583787e-04 1.03170861820479e-04 1.18861391410540e+03 -7.02585919435940e+01 1.97351865494761e+01 6.16652752127510e-03 -3.64501488401549e-04 1.02386123492789e-04 1.17884080937038e+03 1.25169057448820e+03 1.14452112132651e+03 1.28811010875782e+03 1.92903304454538e+01 2.04824303717764e+01 1.87287294914583e+01 2.10783928165323e+01 3.66334368922478e+01 3.63628985834219e+00 5.99462707251857e-01 1.34200869853830e+03 -7.75801457158406e+01 4.48482861239761e+00 1.32226039338823e+01 -1.26950698938250e+00 3.59355537385726e-01
1101 1.21708700696700e+03 -6.96796860998600e+01 1.96559504960000e+01 6.30278628052557e-03 -3.60842049144835e-04 1.01789974264541e-04 1.28215903645704e+03 -7.41346779396539e+01 1.97297639347458e+01 6.63976719673617e-03 -3.83912594871618e-04 1.02172223295533e-04 1.18062015059699e+03 1.25354573626897e+03 1.14626427075298e+03 1.29000269328008e+03 1.90670109054444e+01 2.02447588344378e+01 1.85121635776898e+01 2.08335385503852e+01 3.66715591761304e+01 3.61430685992927e+00 5.92245540089557e-01 1.34480325240843e+03 -7.69915938281241e+01 4.40786078527011e+00 1.30632140777318e+01 -1.24341394512544e+00 3.50754779755971e-01
1102 1.21885256992300e+03 -6.90905170114200e+01 1.94286136853400e+01 6.30048437355165e-03 -3.57142228299651e-04 1.00430257067095e-04 1.19272356020232e+03 -6.37749238179703e+01 1.83637452932837e+01 6.16541847509606e-03 -3.29664900296311e-04 9.49257466532855e-05 1.18234937586108e+03 1.25534763249574e+03 1.14795878769643e+03 1.29184043738205e+03 1.88467496656787e+01 2.00103480883719e+01 1.82985607637962e+01 2.05920465036901e+01 3.67080976467269e+01 3.59226400237115e+00 5.85130200239927e-01 1.34748443284163e+03 -7.63819992895039e+01 4.32970479900709e+00 1.29043606627316e+01 -1.21753556855809e+00 3.42377351232817e-01
1103 1.22055179839100e+03 -6.84852109649500e+01 1.92044978117400e+01 6.29783818037594e-03 -3.53371956007716e-04 9.90919186823217e-05 1.27438712382344e+03 -6.99565194233295e+01 2.02541182428587e+01 6.57561923678692e-03 -3.60963655595155e-04 1.04507780290749e-04 1.18401427781393e+03 1.25708118350790e+03 1.14959087583475e+03 1.29360782539133e+03 1.86296064102495e+01 1.97792612076619e+01 1.80879791324450e+01 2.03539814407934e+01 3.67426136516846e+01 3.57014685350742e+00 5.78118392354653e-01 1.35001965795696e+03 -7.57496578218910e+01 4.25031637599792e+00 1.27459485556090e+01 -1.19186595751059e+00 3.34220875578728e-01
1104 1.22219975809400e+03 -6.78650677243800e+01 1.89836643828400e+01 6.29492717759744e-03 -3.49538327428497e-04 9.77751665082044e-05 1.22333586373748e+03 -6.82037446215137e+01 1.88860714251543e+01 6.30077867793066e-03 -3.51282679274480e-04 9.72725149918632e-05 1.18562946864292e+03 1.25876190846252e+03 1.15117472013476e+03 1.29532082993915e+03 1.84156409507250e+01 1.95515613956764e+01 1.78804768928512e+01 2.01194082561546e+01 3.67755632728862e+01 3.54799578296077e+00 5.71211821994711e-01 1.35244205403806e+03 -7.50970297471889e+01 4.16991164982769e+00 1.25882740759074e+01 -1.16643519148786e+00 3.26282945586517e-01
1105 1.22378179719000e+03 -6.72301974651500e+01 1.87661007569100e+01 6.29167748709060e-03 -3.45642271208311e-04 9.64798250176893e-05 1.22739852279227e+03 -7.32250008266413e+01 1.93069864385409e+01 6.31027170960724e-03 -3.76462609797784e-04 9.92606134507425e-05 1.18718073259124e+03 1.26037471952894e+03 1.15269651576436e+03 1.29696392731252e+03 1.82048411699087e+01 1.93272354863030e+01 1.76760424175639e+01 1.98883132547899e+01 3.68065079777925e+01 3.52579895015025e+00 5.64409961651053e-01 1.35471902951930e+03 -7.44234209672907e+01 4.08855671750616e+00 1.24312582368806e+01 -1.14124709139571e+00 3.18558604810944e-01
1106 1.22529811633600e+03 -6.65808578938600e+01 1.85519429990500e+01 6.28809198857605e-03 -3.41685467016661e-04 9.52064828873502e-05 1.23795785603417e+03 -6.57626420917345e+01 1.86593232583231e+01 6.35306034746946e-03 -3.37486475635154e-04 9.57575462890351e-05 1.18866826160452e+03 1.26191982607299e+03 1.15415644653907e+03 1.29853733566417e+03 1.79973392108111e+01 1.91064234658935e+01 1.74748041498722e+01 1.96608403393431e+01 3.68354565271803e+01 3.50357582805270e+00 5.57716755396400e-01 1.35685085756579e+03 -7.37292361151212e+01 4.00633586794612e+00 1.22750435829151e+01 -1.11631656617690e+00 3.11047979249887e-01
1107 1.22675634031200e+03 -6.59174542653000e+01 1.83412530363000e+01 6.28421157528703e-03 -3.37670338840147e-04 9.39553445525057e-05 1.21148377917465e+03 -6.92411282435749e+01 1.86597202115439e+01 6.20597598576549e-03 -3.54696271211887e-04 9.55867321746862e-05 1.19009944992826e+03 1.26340508335735e+03 1.15556168957404e+03 1.30004914078852e+03 1.77931953006611e+01 1.88891889609566e+01 1.72768207109012e+01 1.94370548309229e+01 3.68626407500343e+01 3.48135045722693e+00 5.51133912550758e-01 1.35885428306609e+03 -7.30154898033256e+01 3.92335058854891e+00 1.21198010060342e+01 -1.09165571845472e+00 3.03748589563507e-01
1108 1.22814180458600e+03 -6.52403908331400e+01 1.81340929467600e+01 6.27996287489280e-03 -3.33599288653582e-04 9.27266135313235e-05 1.25841573815494e+03 -6.55197301064762e+01 1.77778712700678e+01 6.43476517718396e-03 -3.35027658129729e-04 9.09051146649011e-05 1.19146006864418e+03 1.26481539133254e+03 1.15689842645544e+03 1.30148380724924e+03 1.75924698161626e+01 1.86755957506459e+01 1.70821508696835e+01 1.92170222047906e+01 3.68876225880722e+01 3.45912051888874e+00 5.44663144027244e-01 1.36069670020005e+03 -7.22818685879192e+01 3.83970103388440e+00 1.19655147641971e+01 -1.06727587844033e+00 2.96657940461643e-01
1109 1.22946955374100e+03 -6.45499965846500e+01 1.79305992486900e+01 6.27542468719494e-03 -3.29474317516117e-04 9.15208716141434e-05 1.19392722448175e+03 -5.56651849847918e+01 1.75234382897524e+01 6.09401050756337e-03 -2.84124706470302e-04 8.94426518439956e-05 1.19276471022370e+03 1.26616624659208e+03 1.15818082375250e+03 1.30285728366692e+03 1.73952953547530e+01 1.84657842732096e+01 1.68909235247304e+01 1.90008868138182e+01 3.69108566910048e+01 3.43692458681387e+00 5.38308392622187e-01 1.36241134166390e+03 -7.15297480801377e+01 3.75547729524860e+00 1.18124506154457e+01 -1.04319073480276e+00 2.89775925567483e-01
1110 1.23072491465200e+03 -6.38466738263800e+01 1.77307600554500e+01 6.27052383691447e-03 -3.25297786182563e-04 9.03379400633551e-05 1.21974771293529e+03 -6.15658291545972e+01 1.75965012257888e+01 6.21459516901493e-03 -3.13676918909588e-04 8.96538934647334e-05 1.19399913704645e+03 1.26744254060250e+03 1.15939505425665e+03 1.30415402624059e+03 1.72016605444046e+01 1.82597421275471e+01 1.67031277840936e+01 1.87886357376290e+01 3.69319051103372e+01 3.41475503735975e+00 5.32069140801619e-01 1.36396561507895e+03 -7.07588403383932e+01 3.67077691012351e+00 1.16605519651738e+01 -1.01940572170565e+00 2.83097570593373e-01
1111 1.23191549490600e+03 -6.31308239199800e+01 1.75347122150100e+01 6.26530099372547e-03 -3.21072034142033e-04 8.91783976414511e-05 1.19069735069763e+03 -6.50335542082487e+01 1.84141420083081e+01 6.05567291376703e-03 -3.30748978717514e-04 9.36510196521700e-05 1.19517072684802e+03 1.26865211075057e+03 1.16054827921139e+03 1.30538210220045e+03 1.70116983102672e+01 1.80576100836150e+01 1.65188928719089e+01 1.85804136625916e+01 3.69509989880703e+01 3.39264271088843e+00 5.25949333369151e-01 1.36537632621637e+03 -6.99701666155697e+01 3.58569584238913e+00 1.15100245637444e+01 -9.95934169440683e-01 2.76622701271454e-01
1112 1.23303404103600e+03 -6.24026987349500e+01 1.73423698978500e+01 6.25972109365580e-03 -3.16798625643791e-04 8.80416882670505e-05 1.27120427065043e+03 -6.39399710477554e+01 1.77236645747556e+01 6.45349919183903e-03 -3.24602867540532e-04 8.99773998958382e-05 1.19627243979243e+03 1.26978748998505e+03 1.16163366014989e+03 1.30653383102820e+03 1.68253255457999e+01 1.78592995895563e+01 1.63381382424661e+01 1.83761293100298e+01 3.69679234946842e+01 3.37058186859410e+00 5.19946232029060e-01 1.36662736750883e+03 -6.91637319485011e+01 3.50031173879095e+00 1.13608221328953e+01 -9.72773648616269e-01 2.70344084201217e-01
1113 1.23408815189500e+03 -6.16629206534600e+01 1.71539445867900e+01 6.25382459278470e-03 -3.12480991777928e-04 8.69287662760583e-05 1.26652222824378e+03 -6.02433515334202e+01 1.71697706021239e+01 6.41818645299931e-03 -3.05287229921913e-04 8.70089656716599e-05 1.19731164537503e+03 1.27085650646513e+03 1.16265835053368e+03 1.30761727022589e+03 1.66427475916883e+01 1.76650282690010e+01 1.61610634441293e+01 1.81760064382280e+01 3.69829092756249e+01 3.34861159604479e+00 5.14066013354230e-01 1.36773557848910e+03 -6.83407990926596e+01 3.41474250876956e+00 1.12131996211656e+01 -9.49943712572143e-01 2.64263866085911e-01
1114 1.23507056523600e+03 -6.09116654725700e+01 1.69694993813100e+01 6.24757648583525e-03 -3.08120280436588e-04 8.58398283427716e-05 1.29632320909949e+03 -6.60766453560849e+01 1.76377755758521e+01 6.55742159774077e-03 -3.34247214215382e-04 8.92202883396196e-05 1.19828129507562e+03 1.27185168426378e+03 1.16361550330642e+03 1.30862473030816e+03 1.64640258360748e+01 1.74748609324263e+01 1.59877282474689e+01 1.79801115631705e+01 3.69957414050685e+01 3.32673821657746e+00 5.08310398251984e-01 1.36868488211070e+03 -6.75013056120890e+01 3.32905427603614e+00 1.10671871616370e+01 -9.27447707089581e-01 2.58379460971091e-01
1115 1.23598144273900e+03 -6.01494052604900e+01 1.67889490027300e+01 6.24097950798360e-03 -3.03719127704889e-04 8.47743202797792e-05 1.18494553386181e+03 -5.03081796177986e+01 1.61749062940239e+01 5.98327817812544e-03 -2.54026725015272e-04 8.16737656682399e-05 1.19918154288141e+03 1.27277319275147e+03 1.16450526528781e+03 1.30955638841714e+03 1.62890777096420e+01 1.72887095924292e+01 1.58180526311155e+01 1.77883539841928e+01 3.70064276195269e+01 3.30496688026232e+00 5.02676662119315e-01 1.36947568515928e+03 -6.66459423520872e+01 3.24334464651785e+00 1.09228060796308e+01 -9.05284892391668e-01 2.52683826639416e-01
1116 1.23682094163900e+03 -5.93766112443500e+01 1.66125055003800e+01 6.23403635579668e-03 -2.99280146963524e-04 8.37331902813698e-05 1.18523725604327e+03 -5.48859664962873e+01 1.59891081668919e+01 5.97403544495857e-03 -2.76645631587925e-04 8.05910364656998e-05 1.20001253848323e+03 1.27362119670506e+03 1.16532777914061e+03 1.31041241695214e+03 1.61181091174443e+01 1.71067924412933e+01 1.56522367053917e+01 1.76009580299762e+01 3.70149755060340e+01 3.28332763075312e+00 4.97170983679786e-01 1.37010841171230e+03 -6.57754019082578e+01 3.15770887851560e+00 1.07802403308669e+01 -8.83470023189153e-01 2.47178987013126e-01
1117 1.23758921470200e+03 -5.85935309817600e+01 1.64400839886900e+01 6.22674968741304e-03 -2.94804807920819e-04 8.27158855471029e-05 1.22127139667987e+03 -5.52614968481121e+01 1.54640906947349e+01 6.14464896524975e-03 -2.78040164003703e-04 7.78053175930056e-05 1.20077442725192e+03 1.27439585628345e+03 1.16608318334742e+03 1.31119298354498e+03 1.59510378734563e+01 1.69290218945414e+01 1.54902008229336e+01 1.74178334125601e+01 3.70213925017834e+01 3.26182395730672e+00 4.91790648203194e-01 1.37058350277111e+03 -6.48901315385536e+01 3.07221644108319e+00 1.06394955284601e+01 -8.61997825981247e-01 2.41858041660117e-01
1118 1.23828641020100e+03 -5.78005598009400e+01 1.62718226366900e+01 6.21912212272256e-03 -2.90295312298085e-04 8.17229772556659e-05 1.31752512546623e+03 -5.75621059240118e+01 1.56874543817538e+01 6.61708760390884e-03 -2.89097710702012e-04 7.87880685688294e-05 1.20146735021468e+03 1.27509732700323e+03 1.16677161218733e+03 1.31189825103527e+03 1.57879982089877e+01 1.67555400580923e+01 1.53320754993631e+01 1.72391261685289e+01 3.70256858937666e+01 3.24047943945778e+00 4.86539615473428e-01 1.37090141590387e+03 -6.39907444823551e+01 2.98695101770410e+00 1.05007069975486e+01 -8.40876582371291e-01 2.36720797425031e-01
1119 1.23890524354000e+03 -5.69982408237200e+01 1.61077855389400e+01 6.21111900229659e-03 -2.85754587385645e-04 8.07546609133375e-05 1.17834782402277e+03 -5.06325962219971e+01 1.61726020880850e+01 5.90752085299924e-03 -2.53841108648035e-04 8.10796117537324e-05 1.20208423645450e+03 1.27571811063603e+03 1.16738619618170e+03 1.31252050770396e+03 1.56290524892950e+01 1.65864127554671e+01 1.51779214651509e+01 1.70649038445799e+01 3.70276408043789e+01 3.21930444906645e+00 4.81419624462653e-01 1.37104618353810e+03 -6.30776412943836e+01 2.90200934077604e+00 1.03639211357791e+01 -8.20112049383954e-01 2.31764854817762e-01
1120 1.23944585392600e+03 -5.61867450043900e+01 1.59478884368200e+01 6.20274306935174e-03 -2.81183677416393e-04 7.98103879721284e-05 1.31567444382921e+03 -6.04310545680430e+01 1.60897967609770e+01 6.58422512942795e-03 -3.02424106473251e-04 8.05205608863871e-05 1.20262521793705e+03 1.27625835362790e+03 1.16792706055958e+03 1.31305990732298e+03 1.54741191365601e+01 1.64215530478772e+01 1.50276596635091e+01 1.68950768172066e+01 3.70272645161592e+01 3.19830210115385e+00 4.76427979289192e-01 1.37101831754962e+03 -6.21512076227475e+01 2.81744784845011e+00 1.02291363302451e+01 -7.99696511341424e-01 2.26983619449582e-01
1121 1.23991580434100e+03 -5.53666139884600e+01 1.57923444243800e+01 6.19403413680420e-03 -2.76585471274037e-04 7.88910989942325e-05 1.27027816351618e+03 -5.92500318500314e+01 1.70486357096523e+01 6.34571015266476e-03 -2.95985193995398e-04 8.51669373047877e-05 1.20309762997641e+03 1.27672584657779e+03 1.16840132617463e+03 1.31352446812610e+03 1.53234050910746e+01 1.62611801818114e+01 1.48814912304945e+01 1.67298704781998e+01 3.70247859751920e+01 3.17751233769970e+00 4.71570868209032e-01 1.37083477650877e+03 -6.12126078619162e+01 2.73335884489267e+00 1.00965846562338e+01 -7.79642120122565e-01 2.22379083743420e-01
