# ell observed_D_uK2 conditional_model_D_coadded_uK2 error_minus_uK2 error_plus_uK2 residual_over_quoted_error
103 2.62614993000000e+03 2.78995316871445e+03 3.82408884000000e+02 3.82408884000000e+02 -4.28345798353485e-01
104 3.02925427000000e+03 2.82179523844901e+03 3.84885921000000e+02 3.84885921000000e+02 5.39014342254921e-01
105 2.26754847000000e+03 2.85383211490237e+03 3.87384762000000e+02 3.87384762000000e+02 -1.51344013088044e+00
106 2.79225466000000e+03 2.88605667593989e+03 3.89890838000000e+02 3.89890838000000e+02 -2.40585330040231e-01
107 3.32376585000000e+03 2.91846180069182e+03 3.92403839000000e+02 3.92403839000000e+02 1.03287483206346e+00
108 3.92724232000000e+03 2.95103294771961e+03 3.94920694000000e+02 3.94920694000000e+02 2.47191242979125e+00
109 3.03382038000000e+03 2.98377784211180e+03 3.97441494000000e+02 3.97441494000000e+02 1.25911709380304e-01
110 3.42938387000000e+03 3.01668194469284e+03 3.99981102000000e+02 3.99981102000000e+02 1.03180356082713e+00
111 2.91010496000000e+03 3.04973797250230e+03 4.02514760000000e+02 4.02514760000000e+02 -3.46901595614277e-01
112 3.03935904000000e+03 3.08294539890882e+03 4.05063917000000e+02 4.05063917000000e+02 -1.07603657298410e-01
113 2.33790275000000e+03 3.11629610975790e+03 4.07603120000000e+02 4.07603120000000e+02 -1.90968449838632e+00
114 2.20915272000000e+03 3.14978199167635e+03 4.10154844000000e+02 4.10154844000000e+02 -2.29335160960905e+00
115 3.34344611000000e+03 3.18339493197836e+03 4.12711825000000e+02 4.12711825000000e+02 3.87803712727730e-01
116 4.33715308000000e+03 3.21713424036031e+03 4.15273551000000e+02 4.15273551000000e+02 2.69706278413983e+00
117 4.45774454000000e+03 3.25099180523441e+03 4.17833880000000e+02 4.17833880000000e+02 2.88811604929115e+00
118 3.45702104000000e+03 3.28495209363285e+03 4.20392604000000e+02 4.20392604000000e+02 4.09305360584206e-01
119 3.13591290000000e+03 3.31901441647590e+03 4.22951962000000e+02 4.22951962000000e+02 -4.32913268944482e-01
120 2.66967726000000e+03 3.35317066312596e+03 4.25521347000000e+02 4.25521347000000e+02 -1.60624938782675e+00
121 4.12521641000000e+03 3.38741272308230e+03 4.28068246000000e+02 4.28068246000000e+02 1.72356556182797e+00
122 3.45049755000000e+03 3.42172506411443e+03 4.30622985000000e+02 4.30622985000000e+02 6.68159547627796e-02
123 4.11621935000000e+03 3.45610699755327e+03 4.33169941000000e+02 4.33169941000000e+02 1.52391080258897e+00
124 2.94881885000000e+03 3.49055041285514e+03 4.35713738000000e+02 4.35713738000000e+02 -1.24331990389329e+00
125 3.27163900000000e+03 3.52503977754378e+03 4.38258460000000e+02 4.38258460000000e+02 -5.78199397551343e-01
126 3.32406505000000e+03 3.55957440252347e+03 4.40762781000000e+02 4.40762781000000e+02 -5.34322231085738e-01
127 3.71667835000000e+03 3.59413875488136e+03 4.43295977000000e+02 4.43295977000000e+02 2.76428394292962e-01
128 3.80463957000000e+03 3.62872472322649e+03 4.45802649000000e+02 4.45802649000000e+02 3.94602515638056e-01
129 2.89796020000000e+03 3.66333161766287e+03 4.48297096000000e+02 4.48297096000000e+02 -1.70728613790277e+00
130 4.03231034000000e+03 3.69794390442138e+03 4.50782758000000e+02 4.50782758000000e+02 7.41746283868785e-01
131 3.24523913000000e+03 3.73254628536057e+03 4.53252802000000e+02 4.53252802000000e+02 -1.07513324398724e+00
132 2.89149353000000e+03 3.76714667112189e+03 4.55724877000000e+02 4.55724877000000e+02 -1.92145126438179e+00
133 3.88560051000000e+03 3.80172352086764e+03 4.58167162000000e+02 4.58167162000000e+02 1.83070713244093e-01
134 3.56018902000000e+03 3.83627755890939e+03 4.60598713000000e+02 4.60598713000000e+02 -5.99412310796871e-01
135 4.31222189000000e+03 3.87079466582248e+03 4.63034429000000e+02 4.63034429000000e+02 9.53335641003742e-01
136 4.66922603000000e+03 3.90527556566170e+03 4.65422806000000e+02 4.65422806000000e+02 1.64141175397903e+00
137 4.06289976000000e+03 3.93970613888747e+03 4.67811025000000e+02 4.67811025000000e+02 2.63340568154688e-01
138 3.94639273000000e+03 3.97407968781487e+03 4.70170377000000e+02 4.70170377000000e+02 -5.88870740677622e-02
139 4.21905142000000e+03 4.00838209314110e+03 4.72515537000000e+02 4.72515537000000e+02 4.45846348664926e-01
140 3.81506138000000e+03 4.04262150120323e+03 4.74842418000000e+02 4.74842418000000e+02 -4.79232925654987e-01
141 4.20490825000000e+03 4.07677637158218e+03 4.77129028000000e+02 4.77129028000000e+02 2.68547648326731e-01
142 4.51526536000000e+03 4.11084000796081e+03 4.79417256000000e+02 4.79417256000000e+02 8.43576961358241e-01
143 4.75461564000000e+03 4.14481313647009e+03 4.81665038000000e+02 4.81665038000000e+02 1.26603023973252e+00
144 3.90232418000000e+03 4.17867421867918e+03 4.83900358000000e+02 4.83900358000000e+02 -5.71088725417263e-01
145 4.27107492000000e+03 4.21242398247349e+03 4.86107546000000e+02 4.86107546000000e+02 1.20654242068700e-01
146 4.24171328000000e+03 4.24603346969271e+03 4.88300959000000e+02 4.88300959000000e+02 -8.84739137427656e-03
147 4.69706435000000e+03 4.27949598880045e+03 4.90453707000000e+02 4.90453707000000e+02 8.51391997327800e-01
148 3.74189378000000e+03 4.31279742789438e+03 4.92587085000000e+02 4.92587085000000e+02 -1.15899028878190e+00
149 3.38304414000000e+03 4.34592367665280e+03 4.94691059000000e+02 4.94691059000000e+02 -1.94642599484056e+00
150 4.54783776000000e+03 4.37886062649245e+03 4.96774992000000e+02 4.96774992000000e+02 3.40148228531497e-01
151 4.22368455000000e+03 4.41158654551357e+03 4.98819671000000e+02 4.98819671000000e+02 -3.76693234925715e-01
152 4.56611761000000e+03 4.44410857730683e+03 5.00836763000000e+02 5.00836763000000e+02 2.43610377086411e-01
153 4.56677496000000e+03 4.47641139887176e+03 5.02827539000000e+02 5.02827539000000e+02 1.79710843419497e-01
154 3.93942599000000e+03 4.50849453313418e+03 5.04776935000000e+02 5.04776935000000e+02 -1.12736637448417e+00
155 5.32515156000000e+03 4.54035008372004e+03 5.06704114000000e+02 5.06704114000000e+02 1.54883580889964e+00
156 4.31459342000000e+03 4.57198500044932e+03 5.08595396000000e+02 5.08595396000000e+02 -5.06083190043906e-01
157 4.62632873000000e+03 4.60337654873186e+03 5.10451551000000e+02 5.10451551000000e+02 4.49644657228909e-02
158 5.52417122000000e+03 4.63453168397871e+03 5.12262026000000e+02 5.12262026000000e+02 1.73668843456549e+00
159 4.67096912000000e+03 4.66543509919025e+03 5.14051181000000e+02 5.14051181000000e+02 1.07655054871817e-02
160 5.30857073000000e+03 4.69607891219686e+03 5.15798516000000e+02 5.15798516000000e+02 1.18746331911343e+00
161 4.69245703000000e+03 4.72644040036577e+03 5.17513129000000e+02 5.17513129000000e+02 -6.56666825659879e-02
162 4.61596839000000e+03 4.75651168782281e+03 5.19178724000000e+02 5.19178724000000e+02 -2.70703114988999e-01
163 4.33931266000000e+03 4.78628490191794e+03 5.20818592000000e+02 5.20818592000000e+02 -8.58210994737186e-01
164 4.70825249000000e+03 4.81573732968685e+03 5.22409985000000e+02 5.22409985000000e+02 -2.05748057604315e-01
165 4.77819802000000e+03 4.84486852680841e+03 5.23967505000000e+02 5.23967505000000e+02 -1.27241682303191e-01
166 5.36462263000000e+03 4.87366320866920e+03 5.25486283000000e+02 5.25486283000000e+02 9.34295408298610e-01
167 5.61659426000000e+03 4.90211351571560e+03 5.26951225000000e+02 5.26951225000000e+02 1.35587642724314e+00
168 5.50245544000000e+03 4.93021159164013e+03 5.28391398000000e+02 5.28391398000000e+02 1.08299236233946e+00
169 4.51409669000000e+03 4.95794958333747e+03 5.29769187000000e+02 5.29769187000000e+02 -8.37823158139747e-01
170 4.22091923000000e+03 4.98531964085050e+03 5.31131866000000e+02 5.31131866000000e+02 -1.43919139442200e+00
171 4.60465923000000e+03 5.01230649551172e+03 5.32421597000000e+02 5.32421597000000e+02 -7.65647501545134e-01
172 5.20659664000000e+03 5.03891714700803e+03 5.33691301000000e+02 5.33691301000000e+02 3.14188169598749e-01
173 5.13667061000000e+03 5.06512891077003e+03 5.34903266000000e+02 5.34903266000000e+02 1.33746985253904e-01
174 4.89427361000000e+03 5.09093394858923e+03 5.36068491000000e+02 5.36068491000000e+02 -3.66856739187131e-01
175 5.07618020000000e+03 5.11633184670546e+03 5.37194289000000e+02 5.37194289000000e+02 -7.47432493748218e-02
176 5.06903673000000e+03 5.14130748304659e+03 5.38264322000000e+02 5.38264322000000e+02 -1.34266289056755e-01
177 4.66152742000000e+03 5.16585369064763e+03 5.39299390000000e+02 5.39299390000000e+02 -9.35150827164157e-01
178 4.52506263000000e+03 5.18995601572653e+03 5.40278899000000e+02 5.40278899000000e+02 -1.23064844278978e+00
179 6.34569516000000e+03 5.21361485015381e+03 5.41210212000000e+02 5.41210212000000e+02 2.09175711164554e+00
180 5.19770944000000e+03 5.23682316592860e+03 5.42096329000000e+02 5.42096329000000e+02 -7.21527223782360e-02
181 3.90981996000000e+03 5.25956651500478e+03 5.42931707000000e+02 5.42931707000000e+02 -2.48603376373593e+00
182 4.35146614000000e+03 5.28184529448425e+03 5.43728314000000e+02 5.43728314000000e+02 -1.71111036620442e+00
183 4.64301895000000e+03 5.30365248107896e+03 5.44471256000000e+02 5.44471256000000e+02 -1.21334877424450e+00
184 5.54549866000000e+03 5.32497363093211e+03 5.45149887000000e+02 5.45149887000000e+02 4.04521828448794e-01
185 6.39622412000000e+03 5.34580914481133e+03 5.45795581000000e+02 5.45795581000000e+02 1.92455749323605e+00
186 5.76926048000000e+03 5.36614458078012e+03 5.46383889000000e+02 5.46383889000000e+02 7.37788773306747e-01
187 5.15753951000000e+03 5.38598034117773e+03 5.46922067000000e+02 5.46922067000000e+02 -4.17684428845207e-01
188 6.33646067000000e+03 5.40530940709626e+03 5.47407712000000e+02 5.47407712000000e+02 1.70101962849903e+00
189 6.28604526000000e+03 5.42411733821276e+03 5.47834737000000e+02 5.47834737000000e+02 1.57333564955601e+00
190 5.95538562000000e+03 5.44240453800548e+03 5.48223033000000e+02 5.48223033000000e+02 9.35716033650337e-01
191 5.39403967000000e+03 5.46016398824292e+03 5.48542889000000e+02 5.48542889000000e+02 -1.20545393202454e-01
192 6.34473772000000e+03 5.47738124885090e+03 5.48822543000000e+02 5.48822543000000e+02 1.58039512445664e+00
193 5.89664940000000e+03 5.49404930135615e+03 5.49054087000000e+02 5.49054087000000e+02 7.33261272752984e-01
194 5.50500632000000e+03 5.51017597056700e+03 5.49219525000000e+02 5.49219525000000e+02 -9.41272174728097e-03
195 4.03055156000000e+03 5.52574681552707e+03 5.49347354000000e+02 5.49347354000000e+02 -2.72176655560458e+00
196 5.56500753000000e+03 5.54076223836181e+03 5.49414324000000e+02 5.49414324000000e+02 4.41293402430226e-02
197 5.59438968000000e+03 5.55522264063117e+03 5.49447151000000e+02 5.49447151000000e+02 7.12844525584492e-02
198 5.63354740000000e+03 5.56912842325763e+03 5.49407661000000e+02 5.49407661000000e+02 1.17251689983928e-01
199 5.31156809000000e+03 5.58245772111926e+03 5.49315859000000e+02 5.49315859000000e+02 -4.93140015313593e-01
200 5.23838076000000e+03 5.59522577730917e+03 5.49179835000000e+02 5.49179835000000e+02 -6.49778077356334e-01
201 4.88184835000000e+03 5.60741808082692e+03 5.48981117000000e+02 5.48981117000000e+02 -1.32166609808352e+00
202 6.13844518000000e+03 5.61902727692156e+03 5.48741922000000e+02 5.48741922000000e+02 9.46561365651310e-01
203 5.67094312000000e+03 5.63003110031692e+03 5.48429907000000e+02 5.48429907000000e+02 7.45984476063178e-02
204 5.33187680000000e+03 5.64043697215628e+03 5.48078811000000e+02 5.48078811000000e+02 -5.62985041500326e-01
205 6.15169986000000e+03 5.65021520393508e+03 5.47674186000000e+02 5.47674186000000e+02 9.15662393598595e-01
206 5.33449284000000e+03 5.65937321542777e+03 5.47216470000000e+02 5.47216470000000e+02 -5.93696266904707e-01
207 5.04416844000000e+03 5.66789616043431e+03 5.46702798000000e+02 5.46702798000000e+02 -1.14088993638973e+00
208 5.71921608000000e+03 5.67577661399481e+03 5.46143849000000e+02 5.46143849000000e+02 7.95385063563992e-02
209 4.62696958000000e+03 5.68304425961524e+03 5.45533438000000e+02 5.45533438000000e+02 -1.93585691738155e+00
210 5.42452950000000e+03 5.68968424967881e+03 5.44875067000000e+02 5.44875067000000e+02 -4.86634029959770e-01
211 5.51708988000000e+03 5.69570400163304e+03 5.44149407000000e+02 5.44149407000000e+02 -3.28244631594422e-01
212 5.88024579000000e+03 5.70111835449934e+03 5.43382371000000e+02 5.43382371000000e+02 3.29652644363511e-01
213 5.88185406000000e+03 5.70592730361782e+03 5.42563955000000e+02 5.42563955000000e+02 3.24250726132703e-01
214 5.25676876000000e+03 5.71013826611130e+03 5.41697284000000e+02 5.41697284000000e+02 -8.36942549838046e-01
215 6.64729580000000e+03 5.71375123741683e+03 5.40766504000000e+02 5.40766504000000e+02 1.72633577649102e+00
216 5.80627699000000e+03 5.71675136960385e+03 5.39790916000000e+02 5.39790916000000e+02 1.65852402740594e-01
217 5.60293537000000e+03 5.71913865863396e+03 5.38762994000000e+02 5.38762994000000e+02 -2.15685356878765e-01
218 6.27361975000000e+03 5.72091310089035e+03 5.37689719000000e+02 5.37689719000000e+02 1.02792861678215e+00
219 5.67514634000000e+03 5.72206727149305e+03 5.36560739000000e+02 5.36560739000000e+02 -8.74475675959746e-02
220 6.37342096000000e+03 5.72259374618357e+03 5.35379973000000e+02 5.35379973000000e+02 1.21563608397513e+00
221 5.88718514000000e+03 5.72249994499315e+03 5.34152484000000e+02 5.34152484000000e+02 3.08311203148601e-01
222 5.76712669000000e+03 5.72177102338925e+03 5.32872648000000e+02 5.32872648000000e+02 8.51153962977502e-02
223 5.55931808000000e+03 5.72041440307764e+03 5.31552026000000e+02 5.31552026000000e+02 -3.03067837573511e-01
224 6.11100352000000e+03 5.71843750670924e+03 5.30173289000000e+02 5.30173289000000e+02 7.40448493795692e-01
225 5.11446349000000e+03 5.71584033614641e+03 5.28757762000000e+02 5.28757762000000e+02 -1.13733904136317e+00
226 5.93999591000000e+03 5.71261547250989e+03 5.27282810000000e+02 5.27282810000000e+02 4.31230514588762e-01
227 6.15328050000000e+03 5.70877034157584e+03 5.25775653000000e+02 5.25775653000000e+02 8.45436938526636e-01
228 4.74009279000000e+03 5.70430494842975e+03 5.24206840000000e+02 5.24206840000000e+02 -1.83937347789997e+00
229 5.35055601000000e+03 5.69922672105386e+03 5.22607441000000e+02 5.22607441000000e+02 -6.67175175283924e-01
230 5.65212921000000e+03 5.69352824494701e+03 5.20950058000000e+02 5.20950058000000e+02 -7.94683373411069e-02
231 5.76851432000000e+03 5.68721695026152e+03 5.19255551000000e+02 5.19255551000000e+02 1.56565239566375e-01
232 6.65184383000000e+03 5.68030026818274e+03 5.17509547000000e+02 5.17509547000000e+02 1.87734422958821e+00
233 6.41382301000000e+03 5.67277078730483e+03 5.15720055000000e+02 5.15720055000000e+02 1.43692729322921e+00
234 4.51486726000000e+03 5.66462851891979e+03 5.13887793000000e+02 5.13887793000000e+02 -2.23737803190003e+00
235 6.00930018000000e+03 5.65588831872928e+03 5.12014676000000e+02 5.12014676000000e+02 6.90237756526189e-01
236 6.08928179000000e+03 5.64653535601055e+03 5.10100176000000e+02 5.10100176000000e+02 8.67959775002014e-01
237 5.55574256000000e+03 5.63659190959877e+03 5.08131989000000e+02 5.08131989000000e+02 -1.59110922651971e-01
238 5.93797206000000e+03 5.62605057166690e+03 5.06130053000000e+02 5.06130053000000e+02 6.16287229901163e-01
239 5.48044035000000e+03 5.61491877831098e+03 5.04087538000000e+02 5.04087538000000e+02 -2.66775943012857e-01
240 6.06825199000000e+03 5.60319654403318e+03 5.02003367000000e+02 5.02003367000000e+02 9.26399057333049e-01
241 5.83571997000000e+03 5.59088388336467e+03 4.99880821000000e+02 4.99880821000000e+02 4.89788918377675e-01
242 5.41415550000000e+03 5.57799565426409e+03 4.97716105000000e+02 4.97716105000000e+02 -3.29183951690868e-01
243 5.69673876000000e+03 5.56453187077803e+03 4.95517745000000e+02 4.95517745000000e+02 2.66805559550595e-01
244 5.18859656000000e+03 5.55049254642353e+03 4.93277483000000e+02 4.93277483000000e+02 -7.33656002748325e-01
245 5.84481918000000e+03 5.53589253756169e+03 4.91001984000000e+02 4.91001984000000e+02 6.29175955505538e-01
246 5.74801553000000e+03 5.52073927782170e+03 4.88695083000000e+02 4.88695083000000e+02 4.65067605720730e-01
247 5.62547522000000e+03 5.50502535610443e+03 4.86343931000000e+02 4.86343931000000e+02 2.47663960045534e-01
248 6.01608565000000e+03 5.48877304708772e+03 4.83961280000000e+02 4.83961280000000e+02 1.08957601507353e+00
249 4.45766955000000e+03 5.47197493670904e+03 4.81545190000000e+02 4.81545190000000e+02 -2.10635555659696e+00
250 5.08900090000000e+03 5.45464587446054e+03 4.79088990000000e+02 4.79088990000000e+02 -7.63208886224955e-01
251 5.26995317000000e+03 5.43677845989966e+03 4.76608659000000e+02 4.76608659000000e+02 -3.50025721835785e-01
252 5.71775582000000e+03 5.41838020374646e+03 4.74085733000000e+02 4.74085733000000e+02 6.31479910519779e-01
253 4.86530546000000e+03 5.39945120993903e+03 4.71537639000000e+02 4.71537639000000e+02 -1.13277436573632e+00
254 4.41253015000000e+03 5.38000642333020e+03 4.68953311000000e+02 4.68953311000000e+02 -2.06305457416890e+00
255 5.51992593000000e+03 5.36003109876657e+03 4.66340190000000e+02 4.66340190000000e+02 3.42871651772983e-01
256 6.08625812000000e+03 5.33954017519620e+03 4.63700446000000e+02 4.63700446000000e+02 1.61034553933511e+00
257 5.26932855000000e+03 5.31854116655129e+03 4.61029431000000e+02 4.61029431000000e+02 -1.06745064939880e-01
258 5.42415464000000e+03 5.29704900515676e+03 4.58331416000000e+02 4.58331416000000e+02 2.77322545228366e-01
259 4.56246907000000e+03 5.27507119799296e+03 4.55605014000000e+02 4.55605014000000e+02 -1.56407876580780e+00
260 5.69669305000000e+03 5.25263009191592e+03 4.52855467000000e+02 4.52855467000000e+02 9.80584293319527e-01
261 5.22334736000000e+03 5.22972576459196e+03 4.50080196000000e+02 4.50080196000000e+02 -1.41717068394531e-02
262 5.51867427000000e+03 5.20638055510296e+03 4.47278223000000e+02 4.47278223000000e+02 6.98209076226461e-01
263 6.10740606000000e+03 5.18260195491201e+03 4.44451425000000e+02 4.44451425000000e+02 2.08077655525121e+00
264 4.82928420000000e+03 5.15839745135184e+03 4.41603208000000e+02 4.41603208000000e+02 -7.45269158805214e-01
265 4.14971953000000e+03 5.13376710577322e+03 4.38734255000000e+02 4.38734255000000e+02 -2.24292396720474e+00
266 5.58042492000000e+03 5.10871839706933e+03 4.35836740000000e+02 4.35836740000000e+02 1.08230096189383e+00
267 5.07075541000000e+03 5.08326622164384e+03 4.32922871000000e+02 4.32922871000000e+02 -2.88984770311295e-02
268 5.55724723000000e+03 5.05741062802785e+03 4.29987466000000e+02 4.29987466000000e+02 1.16244458616882e+00
269 4.78618330000000e+03 5.03115166046124e+03 4.27032080000000e+02 4.27032080000000e+02 -5.73653296635792e-01
